Dataset,Classifier,Metric,G-SMOTE,NONE,RAND-OVER,RAND-UNDER,SMOTENC
Adult,RF,mean_test_f1_macro,0.7693788454216648,0.7387971278796875,0.729265697214345,0.7279222647658968,0.7274571279254387
Adult,RF,mean_test_geometric_mean_score_macro,0.7955797540529466,0.711077536463641,0.7969567114686413,0.796798462408426,0.7873932561885362
Annealing,DT,mean_test_accuracy,0.8278481012658228,0.8430379746835441,0.7417721518987341,0.6759493670886074,0.7417721518987342
Annealing,DT,mean_test_f1_macro,0.7414755872271851,0.6432675094410996,0.7306472241533756,0.6649991865989097,0.732190143194177
Annealing,DT,mean_test_geometric_mean_score_macro,0.9148495172877643,0.7379447193841873,0.9049212216348625,0.8738839459959818,0.9088598842525737
Annealing,KNN,mean_test_accuracy,0.849367088607595,0.8481012658227847,0.8556962025316455,0.47721518987341777,0.8291139240506329
Annealing,KNN,mean_test_f1_macro,0.7782513525016612,0.7261473531893116,0.7845496141353904,0.4527547014994419,0.7467660846579658
Annealing,KNN,mean_test_geometric_mean_score_macro,0.8989384385238497,0.7828029162309634,0.9089698522157683,0.7965274646146285,0.8670086777898117
Annealing,LR,mean_test_accuracy,0.5759493670886077,0.8139240506329115,0.569620253164557,0.4886075949367089,0.5734177215189874
Annealing,LR,mean_test_f1_macro,0.6176697692312039,0.5396323810000877,0.622981336735495,0.48118279670385994,0.6173519853107614
Annealing,LR,mean_test_geometric_mean_score_macro,0.8496729287532624,0.6632822637538549,0.8479822913646039,0.8097607468281165,0.8425110064115238
Annealing,RF,mean_test_accuracy,0.8696202531645569,0.8683544303797468,0.7164556962025317,0.6329113924050633,0.7367088607594937
Annealing,RF,mean_test_f1_macro,0.7955475087645636,0.6440299240194858,0.7225693546597294,0.6374161863110587,0.7320609948868662
Annealing,RF,mean_test_geometric_mean_score_macro,0.913935680804254,0.7268375530268628,0.9055772668632324,0.8809796656387677,0.9059405866718049
Census,DT,mean_test_accuracy,0.9418,0.9426,0.8443999999999999,0.7946,0.8943999999999999
Census,DT,mean_test_f1_macro,0.7332026457132941,0.7311855387986234,0.6520074227640014,0.6168924034579406,0.6934600972500414
Census,DT,mean_test_geometric_mean_score_macro,0.8128364080984104,0.6980526491210306,0.8137006433699276,0.8167374433036418,0.8001437185076128
Census,KNN,mean_test_accuracy,0.8744,0.933,0.8778,0.731,0.8671999999999999
Census,KNN,mean_test_f1_macro,0.6521915525798231,0.6476437018995487,0.6404270776891372,0.5673497385027271,0.6548863096121388
Census,KNN,mean_test_geometric_mean_score_macro,0.7665977121780669,0.620398839089854,0.7332775054412942,0.7938034023406477,0.7678111005404226
Census,LR,mean_test_accuracy,0.9398,0.9485999999999999,0.9398,0.8150000000000001,0.9380000000000001
Census,LR,mean_test_f1_macro,0.7595440715926813,0.7429311528057359,0.7619551590811214,0.6386804054198002,0.7600433083485602
Census,LR,mean_test_geometric_mean_score_macro,0.8068177747749973,0.7069805654119039,0.8012902294709889,0.8374399297341947,0.7819139866728066
Census,RF,mean_test_accuracy,0.8761999999999999,0.9326000000000001,0.74,0.7138,0.8190000000000002
Census,RF,mean_test_f1_macro,0.6789053505965907,0.48256231798371746,0.580331651510708,0.5622905108216019,0.6359791874245742
Census,RF,mean_test_geometric_mean_score_macro,0.8266757427365341,0.5,0.8215260336851757,0.8135287260383853,0.8184717155016769
Contraceptive,DT,mean_test_accuracy,0.5634959068373112,0.5376570967369999,0.511889772858296,0.5254652369422346,0.5369906606710481
Contraceptive,DT,mean_test_f1_macro,0.549412930196939,0.5177464937993832,0.5069542180943971,0.5201203302078004,0.5291543859321625
